Age,Department,JobRole,YearsAtCompany,MonthlyIncome
21,Human Resources,HR Coordinator,22,3202
20,Sales,Laboratory Technician,26,14116
37,Research & Development,Laboratory Technician,20,12403
42,Human Resources,Sales Executive,18,14268
36,Human Resources,Sales Executive,19,18936
31,Sales,HR Coordinator,23,6654
24,Research & Development,Manager,2,12582
56,Sales,Research Scientist,17,15479
44,Research & Development,Sales Executive,10,6209
60,Research & Development,Manager,23,11508
25,Sales,Research Scientist,30,12557
51,Research & Development,Research Scientist,20,6264
38,Human Resources,Research Scientist,14,18320
33,Research & Development,Manager,21,11982
40,Human Resources,Research Scientist,20,13546
33,Human Resources,HR Coordinator,22,18199
45,Human Resources,HR Coordinator,18,9880
40,Human Resources,HR Coordinator,3,12004
45,Research & Development,HR Coordinator,10,17195
39,Human Resources,HR Coordinator,30,17974
49,Research & Development,Manager,21,12631
20,Human Resources,HR Coordinator,19,16198
36,Research & Development,Sales Executive,27,18184
24,Research & Development,Manager,27,3482
42,Sales,Research Scientist,8,9000
49,Sales,HR Coordinator,28,14781
25,Research & Development,Laboratory Technician,28,7231
40,Human Resources,Laboratory Technician,8,3870
28,Human Resources,HR Coordinator,25,6311
55,Human Resources,Manager,5,8897
22,Research & Development,HR Coordinator,24,11146
54,Research & Development,Sales Executive,20,3572
25,Research & Development,Laboratory Technician,14,11084
47,Sales,Manager,28,16925
30,Research & Development,Research Scientist,28,3264
31,Human Resources,Laboratory Technician,19,17736
24,Human Resources,Research Scientist,11,15571
59,Research & Development,HR Coordinator,7,15526
24,Research & Development,Research Scientist,9,13710
44,Research & Development,Laboratory Technician,11,16623
37,Sales,HR Coordinator,23,12015
37,Sales,HR Coordinator,26,3635
34,Human Resources,Sales Executive,21,12568
45,Research & Development,Manager,29,14619
25,Human Resources,Laboratory Technician,9,8739
40,Sales,Manager,16,11998
50,Human Resources,Research Scientist,16,3383
50,Sales,Laboratory Technician,27,18883
30,Human Resources,HR Coordinator,11,19955
56,Human Resources,Sales Executive,17,11588
20,Sales,Manager,23,6538
34,Sales,Manager,3,11016
53,Research & Development,Laboratory Technician,30,16448
42,Sales,Sales Executive,24,13517
51,Sales,Sales Executive,29,16906
50,Sales,Research Scientist,15,19665
32,Sales,Sales Executive,12,16852
26,Human Resources,HR Coordinator,23,3038
20,Human Resources,Sales Executive,8,16092
46,Research & Development,Sales Executive,30,11991
52,Research & Development,HR Coordinator,19,7195
40,Sales,Manager,25,16664
35,Human Resources,HR Coordinator,11,13705
39,Research & Development,HR Coordinator,27,7111
33,Sales,Laboratory Technician,20,6226
55,Sales,Research Scientist,27,11595
59,Human Resources,Manager,3,17825
39,Human Resources,HR Coordinator,2,13043
52,Research & Development,Sales Executive,3,3675
32,Human Resources,Research Scientist,9,6507
40,Sales,Research Scientist,12,18520
54,Research & Development,Manager,19,15797
40,Research & Development,Manager,0,6546
40,Sales,HR Coordinator,30,14805
46,Sales,Manager,24,12098
49,Research & Development,Laboratory Technician,12,16897
22,Human Resources,Research Scientist,18,14800
46,Research & Development,Manager,4,13303
37,Sales,Laboratory Technician,23,13457
51,Research & Development,HR Coordinator,23,17607
34,Sales,Sales Executive,1,16564
41,Research & Development,Research Scientist,24,9010
25,Research & Development,Laboratory Technician,22,13893
58,Sales,Sales Executive,4,10110
44,Sales,Laboratory Technician,4,4582
53,Sales,HR Coordinator,17,10755
38,Research & Development,Sales Executive,18,6997
24,Sales,Research Scientist,2,5653
47,Sales,Manager,26,9917
48,Research & Development,Laboratory Technician,14,4957
40,Sales,Manager,16,3952
49,Sales,Sales Executive,30,4843
32,Human Resources,Laboratory Technician,14,7426
31,Human Resources,Manager,12,6641
58,Sales,HR Coordinator,9,4353
57,Sales,Manager,13,15413
34,Sales,HR Coordinator,3,8182
31,Sales,HR Coordinator,3,16871
40,Sales,Laboratory Technician,25,4141
21,Human Resources,Laboratory Technician,4,14339
33,Human Resources,Sales Executive,3,18199
32,Human Resources,HR Coordinator,18,3665
35,Sales,Manager,9,12708
60,Human Resources,Manager,21,17182
55,Human Resources,Manager,7,19608
56,Human Resources,HR Coordinator,7,11754
34,Sales,Sales Executive,10,10610
58,Research & Development,Research Scientist,2,14979
40,Research & Development,Manager,1,3680
56,Research & Development,HR Coordinator,13,16326
21,Human Resources,Laboratory Technician,19,4204
38,Sales,Laboratory Technician,14,16305
29,Human Resources,Sales Executive,0,3876
24,Human Resources,Sales Executive,28,16768
41,Research & Development,HR Coordinator,17,9263
41,Research & Development,Manager,18,7833
20,Sales,Laboratory Technician,16,17946
22,Human Resources,Sales Executive,30,12240
29,Human Resources,Research Scientist,0,11866
54,Human Resources,Laboratory Technician,9,14456
31,Sales,Manager,20,14220
60,Human Resources,Sales Executive,7,19317
45,Research & Development,Research Scientist,4,4234
35,Sales,Laboratory Technician,24,10910
32,Research & Development,Research Scientist,6,18968
35,Research & Development,HR Coordinator,1,17189
31,Sales,Manager,19,12010
36,Sales,Manager,14,12365
49,Sales,HR Coordinator,25,11903
49,Sales,Sales Executive,26,17710
21,Sales,HR Coordinator,1,19050
47,Sales,Manager,15,14623
52,Human Resources,Manager,1,17928
47,Human Resources,HR Coordinator,12,5434
28,Sales,HR Coordinator,0,8267
59,Research & Development,Laboratory Technician,6,8804
32,Research & Development,Manager,14,9173
28,Research & Development,Research Scientist,13,4620
52,Human Resources,Research Scientist,25,15166
42,Human Resources,Sales Executive,11,6189
47,Sales,Sales Executive,18,7917
52,Research & Development,HR Coordinator,14,16100
57,Sales,Sales Executive,18,17054
41,Human Resources,Laboratory Technician,23,11066
46,Human Resources,Laboratory Technician,23,14121
27,Sales,Manager,5,10536
53,Sales,Laboratory Technician,28,8473
47,Sales,Sales Executive,30,14674
50,Research & Development,Laboratory Technician,12,8332
49,Research & Development,Sales Executive,16,9352
22,Research & Development,Research Scientist,18,3492
30,Human Resources,Sales Executive,21,17295
46,Sales,Research Scientist,16,5847
42,Human Resources,Research Scientist,18,18821
26,Sales,Laboratory Technician,1,14594
59,Sales,Sales Executive,3,18659
24,Research & Development,Sales Executive,18,4203
49,Human Resources,Laboratory Technician,21,9528
22,Research & Development,Sales Executive,27,14967
24,Research & Development,Laboratory Technician,27,12178
48,Sales,Manager,26,18433
39,Human Resources,Research Scientist,1,19154
60,Research & Development,HR Coordinator,13,7613
49,Human Resources,HR Coordinator,6,9296
36,Human Resources,HR Coordinator,12,15830
21,Sales,Research Scientist,30,13996
28,Human Resources,HR Coordinator,6,16620
55,Research & Development,Research Scientist,2,13416
33,Human Resources,Sales Executive,17,19948
46,Human Resources,Laboratory Technician,15,15142
53,Sales,Research Scientist,13,15911
50,Research & Development,Research Scientist,7,4475
58,Human Resources,Laboratory Technician,2,19974
36,Sales,Laboratory Technician,20,9859
59,Research & Development,Sales Executive,13,13088
29,Research & Development,HR Coordinator,10,12521
49,Human Resources,Research Scientist,3,5116
23,Sales,Sales Executive,24,11195
22,Human Resources,Research Scientist,4,18438
41,Human Resources,Research Scientist,14,4200
26,Human Resources,Sales Executive,26,4889
42,Human Resources,Manager,29,14034
46,Human Resources,Research Scientist,1,13595
42,Human Resources,HR Coordinator,14,18781
43,Research & Development,Laboratory Technician,26,13823
58,Human Resources,Research Scientist,0,7181
22,Research & Development,Manager,8,15968
42,Sales,Manager,3,14328
42,Research & Development,Research Scientist,18,4532
43,Research & Development,Research Scientist,6,3082
55,Sales,Manager,8,11865
20,Sales,Manager,25,12426
30,Human Resources,Manager,4,5092
35,Sales,HR Coordinator,20,16983
47,Research & Development,HR Coordinator,10,11722
20,Sales,Manager,5,4419
36,Research & Development,Sales Executive,3,18898
34,Human Resources,Laboratory Technician,27,5942
39,Sales,HR Coordinator,30,10148
38,Research & Development,Research Scientist,25,19782
38,Research & Development,HR Coordinator,29,11066
28,Human Resources,Research Scientist,17,5581
58,Research & Development,Sales Executive,9,15238
33,Research & Development,Manager,29,17517
57,Human Resources,Research Scientist,0,9515
50,Sales,Manager,16,8146
27,Research & Development,Sales Executive,13,17427
45,Sales,Manager,25,18647
48,Human Resources,Manager,26,7654
32,Research & Development,Research Scientist,0,15457
54,Human Resources,Manager,24,15427
53,Research & Development,Sales Executive,20,7101
34,Human Resources,Sales Executive,16,8976
40,Research & Development,HR Coordinator,11,19279
29,Research & Development,Laboratory Technician,8,7579
56,Sales,Laboratory Technician,3,13479
24,Human Resources,Sales Executive,16,17946
22,Human Resources,Sales Executive,4,5760
36,Sales,Research Scientist,1,13841
54,Sales,Manager,9,9577
21,Sales,Laboratory Technician,20,8554
28,Research & Development,Research Scientist,7,3200
25,Sales,HR Coordinator,18,4659
47,Sales,Sales Executive,3,8682
43,Sales,Sales Executive,1,6989
31,Human Resources,Laboratory Technician,12,10097
32,Research & Development,Laboratory Technician,2,18304
56,Research & Development,HR Coordinator,11,10015
28,Human Resources,Sales Executive,11,7093
25,Human Resources,HR Coordinator,15,3578
28,Sales,Manager,17,3385
26,Human Resources,Manager,17,7180
59,Human Resources,Sales Executive,28,17391
34,Sales,Sales Executive,7,10724
37,Sales,HR Coordinator,24,9934
45,Human Resources,HR Coordinator,23,17584
43,Human Resources,Manager,28,11169
49,Human Resources,Sales Executive,7,8306
49,Human Resources,Manager,22,13793
50,Human Resources,Research Scientist,5,16089
20,Human Resources,Laboratory Technician,22,9877
57,Human Resources,Laboratory Technician,5,6870
60,Sales,Sales Executive,7,10982
57,Sales,HR Coordinator,19,13890
27,Research & Development,Sales Executive,5,7274
43,Human Resources,Manager,2,17413
56,Human Resources,Laboratory Technician,10,3579
53,Research & Development,Sales Executive,20,14968
39,Sales,Sales Executive,24,12323
53,Research & Development,HR Coordinator,4,10102
59,Research & Development,Research Scientist,24,6022
27,Research & Development,Sales Executive,27,3417
21,Human Resources,Manager,9,5930
25,Human Resources,Manager,17,5953
37,Research & Development,Laboratory Technician,25,12246
41,Sales,Manager,6,13585
21,Research & Development,Laboratory Technician,4,14634
29,Research & Development,Manager,1,11598
32,Sales,Sales Executive,27,4449
33,Human Resources,Research Scientist,24,15164
49,Sales,HR Coordinator,2,7966
39,Sales,Sales Executive,11,3533
23,Research & Development,HR Coordinator,19,15167
29,Research & Development,Sales Executive,18,4469
31,Human Resources,Research Scientist,0,3685
23,Sales,Laboratory Technician,10,13269
40,Research & Development,HR Coordinator,21,16850
42,Research & Development,HR Coordinator,18,11672
35,Sales,Research Scientist,19,10136
36,Human Resources,Manager,16,19521
49,Human Resources,HR Coordinator,2,8116
35,Research & Development,Laboratory Technician,7,13809
59,Sales,Manager,15,14184
55,Research & Development,Manager,6,9286
44,Sales,Laboratory Technician,26,3583
27,Sales,Research Scientist,9,3938
38,Research & Development,Manager,10,14368
60,Human Resources,HR Coordinator,9,9966
50,Sales,Sales Executive,8,3517
56,Human Resources,Sales Executive,11,11284
45,Research & Development,Manager,4,19756
32,Sales,Research Scientist,4,6158
22,Human Resources,HR Coordinator,13,19078
31,Sales,Manager,7,9545
49,Sales,HR Coordinator,27,19490
29,Human Resources,HR Coordinator,8,15368
